sublayer,layer,sub_proportion, # sub proportion is the sub layer thickness from full layer thickness, estimated here to be 1/(N sub layers)
L1,L1,1
L23,L23,1
L2-3A,L23,0.66
L2,L23,0.33
L3A,L23,0.33
L2-3A_BL,L23,0.264, # 0.4*0.66 # relative blob area * relative L2-3A/L23 thickness Schein_1987_Jneurosci- Livingstone_1984_Jneurosci
L2-3A_IB,L23,0.396, # 0.6*0.66 # 
L3B,L23,0.33
L4A,L4A,1
L4B,L4B,1
L4B_BL,L4B,0.4
L4B_IB,L4B,0.6
L4CA,L4CA,0.833
L4CM,L4CA,0.1665
L4CM,L4CB,0.1665, #4CM x 2 + 4Ca + 4Cb = 2
L4CB,L4CB,0.833
L5,L5,1
L5A,L5,0.5
L5B,L5,0.5
L5_BL,L5,0.4
L5_IB,L5,0.6
L6,L6,1
L6A,L6,0.33
L6M,L6,0.33
L6B,L6,0.33
